episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
45,1,164.50221335404737,99.04958487456699,-0.02902565399805705,0.3411184251308441,0.0001,12.179245283018869,0.0,0.0,0.0,106,0.02652892842888832,0.00012108676310162991,0.13684986531734467,0.3979527950286865,0.0003127912598787449,1.6986075941657152e-06,0.0017031472508844312,0.004531567237153268,0.5946153143666825,12.179245283018869,0.8324529815394923
46,1,169.83877983274903,99.0222290927924,-0.04613599553704262,0.5613372921943665,0.0001,12.21359223300971,0.0,0.0,0.0,103,0.026568561792373657,0.0002168051723856479,0.13586077094078064,0.343492329120636,0.0003127912598787449,1.6986075941657152e-06,0.0017031472508844316,0.004531567237153267,0.5919999995277924,12.21359223300971,0.9078287557490821
47,1,126.25816727410518,98.60265403323703,-0.04613599553704262,0.5613372921943665,0.0001,15.125,0.0,0.0,0.0,72,0.032264623790979385,4.268119664629921e-05,0.13750211894512177,0.2666547894477844,0.0003378752536101708,1.8316809986437705e-06,0.0018302998972742257,0.0048561240334961675,0.6485373766885864,15.125,0.9293822778595818
48,1,706.2123915508405,99.76307252028893,0.11163967102766037,0.3229242265224457,0.0001,11.255172413793103,0.0,0.0,0.0,435,0.02216353639960289,9.171779674943537e-05,0.13587786257266998,0.36649468541145325,0.00033787525361017075,1.8316809986437707e-06,0.0018302998972742255,0.0048561240334961675,0.5889471259610406,11.255172413793103,0.86533014048105
49,1,638.222208483538,99.73786612919399,0.11163967102766037,0.3229242265224457,0.0001,11.33673469387755,0.0,0.0,0.0,392,0.02232002653181553,9.912352834362537e-05,0.13552823662757874,0.36682701110839844,0.00035968812544991764,1.8716981321301007e-06,0.0019566239121857677,0.005193968882650778,0.5893513114780796,11.33673469387755,0.8693260615881608
50,1,238.64047675890632,99.32668833414714,0.19237667322158813,0.4919818639755249,0.0001,12.273333333333333,0.0,0.0,0.0,150,0.025364864617586136,2.6207114842691226e-06,0.13645204901695251,0.3914451599121094,0.0003596881254499177,1.8716981321301e-06,0.0019566239121857672,0.005193968882650778,0.5907466661930084,12.273333333333333,0.8145734385649364
51,1,154.27203803864083,98.89362402276679,0.19237667322158813,0.4919818639755249,0.0001,12.373626373626374,0.0,0.0,0.0,91,0.027383605018258095,0.0001563879632158205,0.13797089457511902,0.2992704510688782,0.0003808897879430255,2.0153863115140954e-06,0.002082001346105366,0.00553141211516215,0.5956763323846754,12.373626373626374,0.916148657982166
52,1,4.005838637598235,74.99381828308105,0.19237667322158813,0.4919818639755249,0.0001,37.75,0.0,0.0,0.0,4,0.1593550145626068,0.0024432013742625713,0.13175171613693237,0.2216693013906479,0.0003808897879430254,2.0153863115140954e-06,0.002082001346105366,0.005531412115162149,0.6909999996423721,37.75,0.9049184322357178
53,1,362.338277049528,99.53636458584162,0.19237667322158813,0.4919818639755249,0.0001,11.570776255707763,0.0,0.0,0.0,219,0.0235795546323061,8.503106801072136e-05,0.1367715299129486,0.3515353202819824,0.00038088978794302553,2.0153863115140954e-06,0.002082001346105366,0.005531412115162148,0.5912102305725829,11.570776255707763,0.854792855645968
54,1,1124.37140084941,99.84786944182022,-0.08320140838623047,0.3119874894618988,0.0001,12.147826086956522,0.0,0.0,0.0,690,0.022252067923545837,7.670704508200288e-05,0.13689926266670227,0.36028632521629333,0.00038088978794302553,2.0153863115140954e-06,0.002082001346105366,0.00553141211516215,0.6058722542679829,12.147826086956522,0.8758154257484104
